Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1920x1075);1456px,504px
1;0:1;1;0;home;45;CANASTA;+1;1456px,504px
1;0:2;3;0;home;45;CANASTA;+2;1456px,504px
1;0:3;6;0;home;45;CANASTA;+3;1456px,504px
1;0:4;5;0;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1456px,504px
1;0:5;5;1;guest;45;CANASTA;+1;1456px,504px
1;0:5;5;3;guest;45;CANASTA;+2;1456px,504px
1;0:6;5;6;guest;45;CANASTA;+3;1456px,504px
1;0:6;5;5;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1456px,504px
1;0:10;5;5;home;45;FALLO TIRO;f1;1456px,504px
1;0:11;5;5;home;45;FALLO TIRO;f2;1456px,504px
1;0:12;5;5;home;45;FALLO TIRO;f3;1456px,504px
1;0:14;5;5;home;45;ASISTENCIA;;1456px,504px
1;0:15;5;5;home;45;REBOTE;;1456px,504px
1;0:17;5;5;home;45;ROBO;;1456px,504px
1;0:18;5;5;home;45;TAPÓN;;1456px,504px
1;0:20;5;5;home;45;FALTA;PERSONAL;1456px,504px
1;0:21;5;5;home;45;LUCHA;Lucha por Balón;1456px,504px
1;0:22;5;5;home;45;PASOS;Pasos del jugador;1456px,504px
1;0:23;5;5;home;45;DOBLES;Dobles del jugador;1456px,504px
1;0:24;5;5;home;45;PIES;Pies del jugador;1456px,504px
1;0:26;5;5;home;45;FALTA;TECNICA;1456px,504px
1;0:27;5;5;home;45;FALTA;ANTI DEPORTIVA;1456px,504px
1;0:29;5;5;guest;45;FALLO TIRO;f1;1456px,504px
1;0:30;5;5;guest;45;FALLO TIRO;f2;1456px,504px
1;0:31;5;5;guest;45;FALLO TIRO;f3;1456px,504px
1;0:33;5;5;guest;45;ASISTENCIA;;1456px,504px
1;0:34;5;5;guest;45;REBOTE;;1456px,504px
1;0:35;5;5;guest;45;ROBO;;1456px,504px
1;0:37;5;5;guest;45;TAPÓN;;1456px,504px
1;0:38;5;5;guest;45;FALTA;PERSONAL;1456px,504px
1;0:39;5;5;guest;45;LUCHA;Lucha por Balón;1456px,504px
1;0:40;5;5;guest;45;PASOS;Pasos del jugador;1456px,504px
1;0:42;5;5;guest;45;DOBLES;Dobles del jugador;1456px,504px
1;0:43;5;5;guest;45;PIES;Pies del jugador;1456px,504px
1;0:45;5;5;guest;45;FALTA;TECNICA;1456px,504px
1;0:46;5;5;guest;45;FALTA;ANTI DEPORTIVA;1456px,504px
2;0:50;5;5;BOTH;ALL;INICIO DE CUARTO;2Q;1456px,504px
2;0:2;6;5;home;45;CANASTA;+1;1456px,504px
2;0:3;8;5;home;45;CANASTA;+2;1456px,504px
2;0:3;11;5;home;45;CANASTA;+3;1456px,504px
2;0:4;10;5;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1456px,504px
2;0:6;10;6;guest;45;CANASTA;+1;1456px,504px
2;0:6;10;8;guest;45;CANASTA;+2;1456px,504px
2;0:6;10;11;guest;45;CANASTA;+3;1456px,504px
2;0:7;10;10;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1456px,504px
2;0:9;10;10;home;45;FALLO TIRO;f1;1456px,504px
2;0:10;10;10;home;45;FALLO TIRO;f2;1456px,504px
2;0:12;10;10;home;45;FALLO TIRO;f3;1456px,504px
2;0:13;10;10;home;45;ASISTENCIA;;1456px,504px
2;0:14;10;10;home;45;REBOTE;;1456px,504px
2;0:15;10;10;home;45;ROBO;;1456px,504px
2;0:17;10;10;home;45;TAPÓN;;1456px,504px
2;0:20;10;10;home;45;FALTA;PERSONAL;1456px,504px
2;0:21;10;10;home;45;FALTA;PERSONAL;1456px,504px
2;0:22;10;10;home;45;FALTA;PERSONAL;1456px,504px
2;0:24;10;10;home;45;4a FALTA DE EQUIPO;EQUIPO CON 4 O MÁS FALTAS EN EL CUARTO;1456px,504px
2;0:24;10;10;home;45;FALTA;PERSONAL;1456px,504px
2;0:29;10;10;guest;45;FALTA;PERSONAL;1456px,504px
2;0:30;10;10;guest;45;FALTA;PERSONAL;1456px,504px
2;0:30;10;9;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1456px,504px
2;0:32;10;9;guest;45;FALTA;PERSONAL;1456px,504px
2;0:33;10;9;guest;45;4a FALTA DE EQUIPO;EQUIPO CON 4 O MÁS FALTAS EN EL CUARTO;1456px,504px
2;0:33;10;9;guest;45;FALTA;PERSONAL;1456px,504px
2;0:36;10;9;guest;45;4a FALTA DE EQUIPO;EQUIPO CON 4 O MÁS FALTAS EN EL CUARTO;1456px,504px
2;0:36;10;9;guest;45;FALTA;PERSONAL;1456px,504px
2;0:38;10;9;guest;45;4a FALTA DE EQUIPO;EQUIPO CON 4 O MÁS FALTAS EN EL CUARTO;1456px,504px
2;0:38;10;9;guest;45;FALTA;PERSONAL;1456px,504px
3;0:0;10;9;BOTH;ALL;INICIO DE CUARTO;3Q;1456px,504px
