Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1536x739);1174px,382px
1;0:23;0;0;home;45;FALLO TIRO;f2;1174px,382px
1;0:23;2;0;home;45;CANASTA;+2;1174px,382px
1;0:52;2;0;home;45;ROBO;;1174px,382px
1;1:23;2;0;guest;45;FALTA;PERSONAL;1174px,382px
1;1:31;2;0;home;45;FALLO TIRO;f1;1174px,382px
1;1:41;2;0;home;45;FALLO TIRO;f1;1174px,382px
1;2:2;2;2;guest;13;CANASTA;+2;1174px,382px
1;2:23;2;2;home;48;FALLO TIRO;f2;1174px,382px
1;2:28;4;2;home;32;CANASTA;+2;1174px,382px
1;2:52;4;2;guest;13;ROBO;;1174px,382px
1;2:54;4;5;guest;13;CANASTA;+3;1174px,382px
1;3:6;4;5;home;45;FALLO TIRO;f2;1174px,382px
1;3:16;4;5;home;45;ROBO;;1174px,382px
1;3:23;4;5;home;45;ASISTENCIA;;1174px,382px
1;3:32;6;5;home;18;CANASTA;+2;1174px,382px
1;3:48;6;5;home;32;ROBO;;1174px,382px
1;3:56;6;5;home;32;REBOTE;;1174px,382px
1;4:9;6;5;home;48;FALLO TIRO;f2;1174px,382px
1;4:15;6;5;home;32;REBOTE;;1174px,382px
1;5:5;8;5;home;45;CANASTA;+2;1174px,382px
1;5:32;8;7;guest;13;CANASTA;+2;1174px,382px
1;5:35;8;6;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1174px,382px
1;5:51;8;6;home;18;REBOTE;;1174px,382px
1;5:55;10;6;home;32;CANASTA;+2;1174px,382px
1;6:44;10;6;home;48;FALLO TIRO;f2;1174px,382px
1;6:51;10;6;home;32;FALTA;PERSONAL;1174px,382px
1;7:5;10;7;guest;9;CANASTA;+1;1174px,382px
1;7:13;10;7;guest;9;FALLO TIRO;f1;1174px,382px
1;7:14;10;7;guest;9;FALLO TIRO;f1;1174px,382px
1;7:14;10;7;guest;9;FALLO TIRO;f1;1174px,382px
1;7:37;10;7;home;45;FALLO TIRO;f2;1174px,382px
2;0:0;10;7;BOTH;ALL;INICIO DE CUARTO;2Q;1174px,382px
2;0:23;10;7;guest;4;FALLO TIRO;f2;1174px,382px
2;0:31;10;7;guest;15;FALLO TIRO;f2;1174px,382px
2;0:48;10;7;home;10;ROBO;;1174px,382px
2;1:4;10;7;home;44;REBOTE;;1174px,382px
2;1:16;10;7;home;12;FALLO TIRO;f2;1174px,382px
2;1:21;10;7;home;47;FALLO TIRO;f2;1174px,382px
2;1:46;10;7;home;44;REBOTE;;1174px,382px
2;1:58;12;7;home;10;CANASTA;+2;1174px,382px
2;2:28;12;7;home;10;REBOTE;;1174px,382px
2;2:38;12;7;home;10;PASOS;Pasos del jugador;1174px,382px
2;2:48;12;7;home;33;FALTA;PERSONAL;1174px,382px
2;3:3;12;8;guest;33;CANASTA;+1;1174px,382px
2;3:36;12;8;home;12;ROBO;;1174px,382px
2;4:0;12;8;home;33;FALLO TIRO;f2;1174px,382px
2;4:53;12;8;home;47;FALLO TIRO;f2;1174px,382px
2;5:6;12;8;home;47;REBOTE;;1174px,382px
2;5:49;12;8;home;33;REBOTE;;1174px,382px
2;6:3;12;8;home;44;FALLO TIRO;f2;1174px,382px
2;6:8;12;8;home;47;FALLO TIRO;f2;1174px,382px
2;6:17;12;8;home;33;PASOS;Pasos del jugador;1174px,382px
2;6:38;12;8;home;33;FALTA;PERSONAL;1174px,382px
2;7:23;12;8;guest;33;FALTA;PERSONAL;1174px,382px
2;7:34;14;8;home;47;CANASTA;+2;1174px,382px
2;7:36;14;8;guest;47;FALTA;PERSONAL;1174px,382px
2;7:49;14;8;home;47;FALLO TIRO;f2;1174px,382px
2;8:4;14;8;home;12;FALLO TIRO;f2;1174px,382px
3;0:0;14;8;BOTH;ALL;INICIO DE CUARTO;3Q;1174px,382px
3;0:22;14;8;home;45;FALLO TIRO;f2;1174px,382px
