Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1536x739);1169px,404px
1;0:13;0;0;home;20;FALLO TIRO;f2;1169px,404px
1;0:50;0;0;home;12;FALLO TIRO;f2;1169px,404px
1;1:14;0;0;home;41;FALLO TIRO;f2;1169px,404px
1;1:38;2;0;home;47;CANASTA;+2;1169px,404px
1;2:24;2;0;home;88;ROBO;;1169px,404px
1;2:36;2;0;home;41;FALLO TIRO;f2;1169px,404px
1;2:42;2;0;home;88;FALLO TIRO;f2;1169px,404px
1;3:15;2;0;home;41;FALTA;PERSONAL;1169px,404px
1;4:1;2;0;guest;41;FALLO TIRO;f1;1169px,404px
1;4:2;2;0;guest;41;FALLO TIRO;f1;1169px,404px
1;4:24;2;0;home;47;FALLO TIRO;f2;1169px,404px
1;4:36;2;0;home;88;FALLO TIRO;f2;1169px,404px
1;4:51;2;0;home;47;PASOS;Pasos del jugador;1169px,404px
1;4:58;2;0;home;88;ROBO;;1169px,404px
1;5:25;2;0;home;88;FALTA;PERSONAL;1169px,404px
1;5:32;2;0;guest;88;FALLO TIRO;f1;1169px,404px
1;5:44;2;1;guest;88;CANASTA;+1;1169px,404px
1;6:3;5;1;home;88;CANASTA;+3;1169px,404px
1;6:37;5;1;home;47;FALLO TIRO;f3;1169px,404px
1;7:6;5;1;home;88;FALLO TIRO;f2;1169px,404px
1;7:13;7;1;home;47;CANASTA;+2;1169px,404px
1;7:33;7;1;home;88;TAPÓN;;1169px,404px
2;7:38;7;1;BOTH;ALL;INICIO DE CUARTO;2Q;1169px,404px
2;0:22;7;1;home;32;FALLO TIRO;f2;1169px,404px
2;0:27;7;1;home;45;FALLO TIRO;f2;1169px,404px
2;0:49;7;1;home;34;FALLO TIRO;f2;1169px,404px
2;1:30;7;1;home;42;FALTA;PERSONAL;1169px,404px
2;1:40;7;2;guest;42;CANASTA;+1;1169px,404px
2;1:54;7;3;guest;42;CANASTA;+1;1169px,404px
2;2:35;7;3;home;34;FALLO TIRO;f3;1169px,404px
2;3:41;7;3;home;34;DOBLES;Dobles del jugador;1169px,404px
2;3:49;7;3;home;42;ROBO;;1169px,404px
2;3:50;9;3;home;42;CANASTA;+2;1169px,404px
