Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido HOME vs. EL FARO ⛹️‍♀️ - (1536x739);1166px,415px
1;0:7;0;0;home;10;FALLO TIRO;f2;1166px,415px
1;0:23;0;2;guest;45;CANASTA;+2;1166px,415px
1;1:2;0;2;guest;48;FALLO TIRO;f2;1166px,415px
1;1:30;0;2;guest;45;FALLO TIRO;f2;1166px,415px
1;2:6;0;2;guest;41;FALLO TIRO;f2;1166px,415px
1;2:15;0;2;guest;45;ROBO;;1166px,415px
1;2:17;0;4;guest;45;CANASTA;+2;1166px,415px
1;2:30;0;4;guest;41;FALLO TIRO;f2;1166px,415px
1;2:45;0;4;guest;45;ROBO;;1166px,415px
1;2:54;0;6;guest;45;CANASTA;+2;1166px,415px
1;3:55;0;8;guest;45;CANASTA;+2;1166px,415px
1;4:1;0;8;home;45;FALTA;PERSONAL;1166px,415px
1;4:16;0;8;guest;45;FALLO TIRO;f1;1166px,415px
1;4:38;0;10;guest;41;CANASTA;+2;1166px,415px
1;4:46;0;10;guest;45;ASISTENCIA;;1166px,415px
1;4:57;0;10;guest;32;ROBO;;1166px,415px
1;5:18;0;10;guest;45;FALLO TIRO;f2;1166px,415px
1;5:33;0;10;guest;32;ROBO;;1166px,415px
1;5:35;0;12;guest;32;CANASTA;+2;1166px,415px
2;5:56;0;12;BOTH;ALL;INICIO DE CUARTO;2Q;1166px,415px
2;1:10;0;12;guest;10;FALTA;PERSONAL;1166px,415px
2;1:49;0;12;home;10;FALLO TIRO;f3;1166px,415px
2;2:30;0;12;guest;47;FALLO TIRO;f2;1166px,415px
2;2:43;0;12;guest;44;ROBO;;1166px,415px
2;2:45;0;12;guest;44;REBOTE;;1166px,415px
2;3:52;0;14;guest;10;CANASTA;+2;1166px,415px
2;5:0;0;14;guest;47;FALLO TIRO;f3;1166px,415px
2;5:51;0;14;guest;44;LUCHA;Lucha por Balón;1166px,415px
2;5:57;0;16;guest;47;CANASTA;+2;1166px,415px
2;6:31;0;16;guest;31;LUCHA;Lucha por Balón;1166px,415px
2;6:41;0;16;guest;47;ROBO;;1166px,415px
2;6:42;0;18;guest;47;CANASTA;+2;1166px,415px
2;6:50;2;18;home;47;CANASTA;+2;1166px,415px
2;7:6;2;18;guest;31;FALLO TIRO;f2;1166px,415px
2;7:31;2;18;guest;12;ROBO;;1166px,415px
2;7:54;2;18;guest;12;ROBO;;1166px,415px
3;8:39;2;18;BOTH;ALL;INICIO DE CUARTO;3Q;1166px,415px
3;1:36;2;20;guest;48;CANASTA;+2;1166px,415px
3;1:47;2;20;guest;41;FALTA;PERSONAL;1166px,415px
3;2:11;2;22;guest;48;CANASTA;+2;1166px,415px
3;2:37;2;22;guest;32;REBOTE;;1166px,415px
3;2:55;2;22;guest;24;ROBO;;1166px,415px
3;2:56;2;22;guest;24;ROBO;;1166px,415px
3;3:7;2;22;guest;41;REBOTE;;1166px,415px
3;3:13;2;22;guest;48;REBOTE;;1166px,415px
3;3:19;2;22;guest;32;FALLO TIRO;f3;1166px,415px
3;3:52;2;22;guest;45;REBOTE;;1166px,415px
3;4:2;2;22;guest;45;ROBO;;1166px,415px
3;4:3;2;22;guest;45;ASISTENCIA;;1166px,415px
3;4:28;2;24;guest;41;CANASTA;+2;1166px,415px
3;4:33;2;27;guest;32;CANASTA;+3;1166px,415px
