Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido HOME vs. EL FARO ⛹️‍♀️ - (1536x739);1084px,405px
1;0:32;0;0;guest;48;FALTA;PERSONAL;1147px,402px
1;0:46;1;0;home;48;CANASTA;+1;1147px,402px
1;1:0;1;0;home;48;LUCHA;Lucha por Balón;1147px,402px
1;1:21;3;0;home;48;CANASTA;+2;1147px,402px
1;1:53;3;0;guest;45;FALLO TIRO;f2;1147px,402px
1;2:20;3;0;guest;45;FALLO TIRO;f2;1147px,402px
1;2:24;3;0;home;45;FALTA;PERSONAL;1147px,402px
1;2:57;3;0;guest;48;REBOTE;;1147px,402px
1;3:29;3;0;home;48;FALTA;PERSONAL;1147px,402px
1;3:48;3;0;guest;45;FALLO TIRO;f1;1147px,402px
1;4:1;3;0;guest;45;FALLO TIRO;f1;1147px,402px
1;4:23;5;0;home;45;CANASTA;+2;1147px,402px
1;5:28;5;0;home;45;FALTA;PERSONAL;1147px,402px
1;5:47;5;2;guest;45;CANASTA;+2;1147px,402px
1;6:28;5;2;guest;45;LUCHA;Lucha por Balón;1147px,402px
1;6:52;5;2;guest;41;FALLO TIRO;f2;1147px,402px
1;7:3;5;4;guest;48;CANASTA;+2;1147px,402px
1;7:33;5;4;guest;41;FALLO TIRO;f2;1147px,402px
1;7:39;7;4;home;41;CANASTA;+2;1147px,402px
1;7:54;7;4;guest;45;FALLO TIRO;f2;1147px,402px
1;8:0;7;4;guest;45;ROBO;;1147px,402px
1;8:1;7;6;guest;45;CANASTA;+2;1147px,402px
2;0:0;7;6;BOTH;ALL;INICIO DE CUARTO;2Q;1147px,402px
2;1:2;7;6;guest;10;FALTA;PERSONAL;1147px,402px
2;1:18;7;8;guest;10;CANASTA;+2;1147px,402px
2;1:21;7;8;home;10;FALTA;PERSONAL;1147px,402px
2;1:36;7;9;guest;10;CANASTA;+1;1147px,402px
2;3:52;7;11;guest;47;CANASTA;+2;1147px,402px
2;5:54;7;11;guest;47;FALLO TIRO;f2;1147px,402px
2;5:55;9;11;home;47;CANASTA;+2;1147px,402px
2;6:9;11;11;home;47;CANASTA;+2;1147px,402px
2;6:19;13;11;home;47;CANASTA;+2;1147px,402px
2;6:32;13;11;home;47;FALTA;PERSONAL;1147px,402px
2;6:51;13;12;guest;47;CANASTA;+1;1147px,402px
2;7:0;13;13;guest;32;CANASTA;+1;1147px,402px
2;7:13;13;12;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1147px,402px
3;0:0;13;12;BOTH;ALL;INICIO DE CUARTO;3Q;1147px,402px
3;0:0;13;12;guest;12;REBOTE;;1147px,402px
3;0:0;13;12;guest;48;FALLO TIRO;f2;1147px,402px
3;0:0;13;12;home;48;FALTA;PERSONAL;1147px,402px
3;0:14;13;12;guest;48;FALLO TIRO;f1;1147px,402px
3;0:24;13;13;guest;48;CANASTA;+1;1147px,402px
3;0:58;13;13;home;48;FALTA;PERSONAL;1147px,402px
3;1:14;13;14;guest;41;CANASTA;+1;1147px,402px
3;1:21;13;15;guest;41;CANASTA;+1;1147px,402px
3;1:36;15;15;home;41;CANASTA;+2;1147px,402px
3;2:14;15;15;home;41;FALTA;PERSONAL;1147px,402px
3;5:54;15;15;home;41;4a FALTA DE EQUIPO;EQUIPO CON 4 O MÁS FALTAS EN EL CUARTO;1147px,402px
3;5:54;15;15;home;41;FALTA;PERSONAL;1147px,402px
3;6:16;15;15;guest;12;FALLO TIRO;f1;1147px,402px
3;6:18;15;16;guest;12;CANASTA;+1;1147px,402px
3;7:4;15;16;guest;48;FALLO TIRO;f2;1147px,402px
3;7:19;15;16;guest;48;FALTA;PERSONAL;1147px,402px
3;8:0;17;16;home;48;CANASTA;+2;1147px,402px
3;8:2;17;16;guest;48;FALTA;PERSONAL;1147px,402px
3;8:39;18;16;home;48;CANASTA;+1;1147px,402px
3;8:50;18;18;guest;48;CANASTA;+2;1147px,402px
3;9:6;18;18;guest;45;FALTA;PERSONAL;1147px,402px
3;9:9;20;18;home;45;CANASTA;+2;1147px,402px
3;9:21;21;18;home;45;CANASTA;+1;1147px,402px
4;0:0;21;18;BOTH;ALL;INICIO DE CUARTO;4Q;1147px,402px
4;0:22;21;18;home;45;FALTA;PERSONAL;1147px,402px
4;0:45;21;18;guest;33;FALLO TIRO;f1;1147px,402px
4;1:6;21;18;guest;33;FALLO TIRO;f1;1147px,402px
4;1:58;21;18;guest;47;FALTA;PERSONAL;1147px,402px
4;2:31;23;18;home;47;CANASTA;+2;1147px,402px
4;3:6;25;18;home;47;CANASTA;+2;1147px,402px
4;4:9;25;18;home;47;FALTA;PERSONAL;1147px,402px
4;4:31;25;18;guest;47;FALLO TIRO;f1;1147px,402px
4;5:50;28;18;home;47;CANASTA;+3;1147px,402px
4;6:10;28;18;guest;47;FALTA;PERSONAL;1147px,402px
4;6:12;28;18;home;47;FALTA;PERSONAL;1147px,402px
4;6:31;28;18;guest;47;FALLO TIRO;f3;1147px,402px
4;7:35;28;18;guest;18;FALLO TIRO;f2;1147px,402px
4;7:57;28;18;guest;10;FALTA;PERSONAL;1147px,402px
4;8:19;28;18;home;10;FALLO TIRO;f1;1147px,402px
4;8:45;30;18;home;10;CANASTA;+2;1147px,402px
4;8:59;33;18;home;10;CANASTA;+3;1147px,402px
5;0:0;33;18;BOTH;ALL;INICIO DE CUARTO;5Q;1147px,402px
5;0:0;35;18;home;10;CANASTA;+2;1147px,402px
5;0:0;37;18;home;10;CANASTA;+2;1147px,402px
5;0:0;37;21;guest;48;CANASTA;+3;1147px,402px
5;0:0;39;21;home;48;CANASTA;+2;1147px,402px
5;0:0;39;21;guest;12;FALLO TIRO;f2;1147px,402px
5;0:0;39;21;guest;32;FALLO TIRO;f2;1147px,402px
5;0:0;39;21;home;32;FALTA;PERSONAL;1147px,402px
5;0:0;39;21;guest;32;FALLO TIRO;f1;1147px,402px
5;0:0;39;21;guest;48;FALLO TIRO;f1;1147px,402px
5;0:0;39;21;guest;48;FALLO TIRO;f1;1147px,402px
5;0:0;39;21;guest;12;FALLO TIRO;f1;1147px,402px
5;0:0;39;21;guest;12;FALLO TIRO;f2;1147px,402px
5;0:0;41;21;home;12;CANASTA;+2;1147px,402px
5;0:0;41;23;guest;12;CANASTA;+2;1147px,402px
5;0:0;41;23;guest;45;FALLO TIRO;f3;1147px,402px
5;0:0;44;23;home;45;CANASTA;+3;1147px,402px
5;0:0;44;23;home;45;FALTA;PERSONAL;1147px,402px
6;0:0;44;23;BOTH;ALL;INICIO DE CUARTO;6Q;1147px,402px
6;0:0;45;23;home;45;CANASTA;+1;1147px,402px
6;0:0;45;22;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1147px,402px
6;0:16;45;22;guest;33;ASISTENCIA;;1147px,402px
6;0:22;45;24;guest;45;CANASTA;+2;1147px,402px
6;1:45;45;26;guest;33;CANASTA;+2;1147px,402px
6;1:56;45;26;guest;10;FALTA;PERSONAL;1147px,402px
6;1:57;47;26;home;10;CANASTA;+2;1147px,402px
6;2:24;49;26;home;10;CANASTA;+2;1147px,402px
6;4:0;49;26;home;10;FALTA;PERSONAL;1147px,402px
6;4:41;49;27;guest;45;CANASTA;+1;1147px,402px
6;5:20;49;27;guest;33;FALLO TIRO;f2;1147px,402px
