Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1536x739);1217px,397px
1;0:32;2;0;home;32;CANASTA;+2;1217px,397px
1;0:46;2;0;guest;32;FALTA;PERSONAL;1217px,397px
1;1:3;2;0;home;32;FALLO TIRO;f2;1217px,397px
1;1:58;2;0;guest;32;PASOS;Pasos del jugador;1217px,397px
1;2:41;2;0;home;12;FALTA;PERSONAL;1217px,397px
1;2:44;2;1;guest;12;CANASTA;+1;1217px,397px
1;2:59;2;2;guest;12;CANASTA;+1;1217px,397px
1;4:12;2;2;guest;41;FALTA;PERSONAL;1217px,397px
1;4:13;2;4;guest;41;CANASTA;+2;1217px,397px
1;4:27;2;5;guest;41;CANASTA;+1;1217px,397px
1;4:41;4;5;home;32;CANASTA;+2;1217px,397px
1;5:21;4;5;home;48;FALTA;PERSONAL;1217px,397px
1;5:33;4;6;guest;48;CANASTA;+1;1217px,397px
1;5:46;4;7;guest;48;CANASTA;+1;1217px,397px
1;6:11;4;7;guest;32;FALTA;PERSONAL;1217px,397px
1;6:35;5;7;home;32;CANASTA;+1;1217px,397px
1;7:13;5;7;home;32;FALLO TIRO;f2;1217px,397px
1;7:47;5;7;guest;32;PASOS;Pasos del jugador;1217px,397px
1;8:33;5;7;home;45;FALTA;PERSONAL;1217px,397px
1;8:35;5;8;guest;45;CANASTA;+1;1217px,397px
1;8:44;5;9;guest;45;CANASTA;+1;1217px,397px
1;9:5;5;9;home;32;FALLO TIRO;f2;1217px,397px
1;9:14;5;12;guest;32;CANASTA;+3;1217px,397px
2;0:0;5;12;BOTH;ALL;INICIO DE CUARTO;2Q;1217px,397px
2;0:16;5;12;home;31;FALLO TIRO;f2;1217px,397px
2;0:19;5;12;guest;31;FALLO TIRO;f2;1217px,397px
2;1:13;5;12;guest;31;FALLO TIRO;f3;1217px,397px
2;1:19;5;14;guest;31;CANASTA;+2;1217px,397px
2;2:19;7;14;home;47;CANASTA;+2;1217px,397px
2;2:42;7;14;home;47;FALLO TIRO;f2;1217px,397px
2;2:42;7;14;home;10;FALTA;PERSONAL;1217px,397px
2;2:42;7;14;guest;10;FALLO TIRO;f1;1217px,397px
2;2:42;7;15;guest;10;CANASTA;+1;1217px,397px
2;4:24;7;15;home;31;FALLO TIRO;f2;1217px,397px
2;4:29;7;15;home;33;FALLO TIRO;f2;1217px,397px
2;5:7;7;15;home;47;FALLO TIRO;f2;1217px,397px
2;5:18;7;15;home;10;FALTA;PERSONAL;1217px,397px
2;5:32;7;16;guest;10;CANASTA;+1;1217px,397px
2;5:44;7;16;guest;10;FALLO TIRO;f1;1217px,397px
3;0:0;7;16;BOTH;ALL;INICIO DE CUARTO;3Q;1217px,397px
3;1:9;9;16;home;45;CANASTA;+2;1217px,397px
3;2:39;9;16;guest;32;FALTA;PERSONAL;1217px,397px
3;2:41;10;16;home;32;CANASTA;+1;1217px,397px
3;2:41;11;16;home;32;CANASTA;+1;1217px,397px
3;2:41;11;16;home;32;FALLO TIRO;f2;1217px,397px
3;2:41;11;16;guest;32;FALTA;PERSONAL;1217px,397px
3;2:41;12;16;home;48;CANASTA;+1;1217px,397px
3;2:56;13;16;home;48;CANASTA;+1;1217px,397px
3;4:9;14;16;home;41;CANASTA;+1;1217px,397px
3;4:35;16;16;home;45;CANASTA;+2;1217px,397px
3;5:49;16;19;guest;45;CANASTA;+3;1217px,397px
4;0:0;16;19;BOTH;ALL;INICIO DE CUARTO;4Q;1217px,397px
4;0:0;16;18;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1217px,397px
4;1:42;16;18;home;10;ROBO;;1217px,397px
4;2:26;16;20;guest;10;CANASTA;+2;1217px,397px
4;3:13;16;20;guest;15;FALTA;PERSONAL;1217px,397px
4;3:39;17;20;home;33;CANASTA;+1;1217px,397px
4;4:38;17;20;home;18;FALTA;PERSONAL;1217px,397px
4;4:50;17;20;guest;18;FALLO TIRO;f1;1217px,397px
4;5:8;17;20;guest;18;FALLO TIRO;f1;1217px,397px
4;5:43;19;20;home;10;CANASTA;+2;1217px,397px
4;6:35;19;20;home;47;FALTA;PERSONAL;1217px,397px
4;6:56;19;20;guest;47;FALLO TIRO;f1;1217px,397px
4;7:57;21;20;home;18;CANASTA;+2;1217px,397px
5;0:0;21;20;BOTH;ALL;INICIO DE CUARTO;5Q;1217px,397px
5;0:32;23;20;home;47;CANASTA;+2;1217px,397px
5;1:8;23;20;home;47;FALTA;PERSONAL;1217px,397px
5;2:5;25;20;home;45;CANASTA;+2;1217px,397px
5;2:34;27;20;home;47;CANASTA;+2;1217px,397px
5;3:29;30;20;home;45;CANASTA;+3;1217px,397px
5;3:44;30;22;guest;45;CANASTA;+2;1217px,397px
5;5:22;30;22;home;45;FALTA;PERSONAL;1217px,397px
5;5:22;30;22;home;47;FALTA;PERSONAL;1217px,397px
5;5:22;30;24;guest;47;CANASTA;+2;1217px,397px
5;6:11;32;24;home;45;CANASTA;+2;1217px,397px
5;7:16;34;24;home;10;CANASTA;+2;1217px,397px
5;7:35;34;24;home;47;4a FALTA DE EQUIPO;EQUIPO CON 4 O MÁS FALTAS EN EL CUARTO;1217px,397px
5;7:35;34;24;home;47;FALTA;PERSONAL;1217px,397px
5;8:16;34;26;guest;47;CANASTA;+2;1217px,397px
5;8:22;36;26;home;45;CANASTA;+2;1217px,397px
6;8:38;36;26;BOTH;ALL;INICIO DE CUARTO;6Q;1217px,397px
6;0:37;36;28;guest;45;CANASTA;+2;1217px,397px
6;0:58;36;28;home;32;FALLO TIRO;f2;1217px,397px
6;1:18;36;28;guest;32;FALTA;PERSONAL;1217px,397px
6;1:55;36;28;home;45;FALLO TIRO;f1;1217px,397px
6;2:11;37;28;home;45;CANASTA;+1;1217px,397px
6;2:33;37;30;guest;45;CANASTA;+2;1217px,397px
6;3:28;40;30;home;48;CANASTA;+3;1217px,397px
6;4:32;40;30;home;32;FALLO TIRO;f2;1217px,397px
6;5:46;42;30;home;32;CANASTA;+2;1217px,397px
6;6:33;42;30;guest;32;FALTA;PERSONAL;1217px,397px
6;6:33;42;30;home;45;FALLO TIRO;f1;1217px,397px
6;6:33;42;30;home;45;FALLO TIRO;f1;1217px,397px
6;6:33;42;33;guest;45;CANASTA;+3;1217px,397px
6;6:33;42;33;guest;45;FALTA;PERSONAL;1217px,397px
6;7:29;44;33;home;41;CANASTA;+2;1217px,397px
