Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido HOME vs. EL FARO ⛹️‍♀️ - (1536x739);,
2;0:0;0;0;BOTH;ALL;INICIO DE CUARTO;2Q;,
2;2:15;0;2;guest;47;CANASTA;+2;1233px,311px
2;4:30;2;2;home;47;CANASTA;+2;1233px,311px
3;0:0;2;2;BOTH;ALL;INICIO DE CUARTO;3Q;1233px,311px
3;0:0;3;2;home;47;CANASTA;+1;1233px,311px
3;0:0;4;2;home;47;CANASTA;+1;1233px,311px
3;0:0;5;2;home;47;CANASTA;+1;1233px,311px
3;0:0;6;2;home;47;CANASTA;+1;1233px,311px
3;0:0;7;2;home;47;CANASTA;+1;1233px,311px
3;0:0;8;2;home;47;CANASTA;+1;1233px,311px
3;0:0;9;2;home;47;CANASTA;+1;1233px,311px
3;0:0;9;3;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;4;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;5;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;6;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;7;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;8;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;9;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;10;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;11;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;12;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;13;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;14;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;15;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;16;guest;14;CANASTA;+1;1233px,311px
3;0:0;9;17;guest;14;CANASTA;+1;1233px,311px
3;1:52;9;19;guest;18;CANASTA;+2;1233px,311px
3;5:41;9;22;guest;18;CANASTA;+3;1233px,311px
3;6:26;11;22;home;18;CANASTA;+2;1233px,311px
3;7:17;14;22;home;18;CANASTA;+3;1233px,311px
3;7:50;17;22;home;18;CANASTA;+3;1233px,311px
3;9:41;17;23;guest;45;CANASTA;+1;1233px,311px
4;11:6;17;23;BOTH;ALL;INICIO DE CUARTO;4Q;1233px,311px
4;0:0;17;25;guest;47;CANASTA;+2;1233px,311px
4;0:0;19;25;home;47;CANASTA;+2;1233px,311px
4;0:0;20;25;home;47;CANASTA;+1;1233px,311px
4;0:0;21;25;home;47;CANASTA;+1;1233px,311px
4;0:0;21;27;guest;48;CANASTA;+2;1233px,311px
4;0:0;21;29;guest;33;CANASTA;+2;1233px,311px
4;0:0;21;31;guest;47;CANASTA;+2;1233px,311px
4;0:42;21;33;guest;31;CANASTA;+2;1233px,311px
4;1:23;21;35;guest;33;CANASTA;+2;1233px,311px
4;1:27;21;37;guest;33;CANASTA;+2;1233px,311px
4;2:5;22;37;home;33;CANASTA;+1;1233px,311px
4;7:15;23;37;home;33;CANASTA;+1;1233px,311px
5;0:0;23;37;BOTH;ALL;INICIO DE CUARTO;5Q;1233px,311px
5;1:5;23;39;guest;10;CANASTA;+2;1233px,311px
5;3:44;23;41;guest;45;CANASTA;+2;1233px,311px
5;4:22;23;43;guest;10;CANASTA;+2;1233px,311px
5;4:42;26;43;home;10;CANASTA;+3;1233px,311px
5;5:56;26;46;guest;18;CANASTA;+3;1233px,311px
5;7:51;26;48;guest;44;CANASTA;+2;1233px,311px
5;10:56;27;48;home;44;CANASTA;+1;1233px,311px
5;10:56;28;48;home;44;CANASTA;+1;1233px,311px
6;0:0;28;48;BOTH;ALL;INICIO DE CUARTO;6Q;1233px,311px
6;0:0;31;48;home;44;CANASTA;+3;1233px,311px
6;0:0;34;48;home;44;CANASTA;+3;1242px,255px
6;0:0;34;50;guest;12;CANASTA;+2;1242px,255px
6;0:0;34;53;guest;12;CANASTA;+3;1242px,255px
6;0:0;36;53;home;12;CANASTA;+2;1242px,255px
6;0:0;37;53;home;12;CANASTA;+1;1242px,255px
6;1:15;38;53;home;12;CANASTA;+1;1242px,255px
6;2:2;38;55;guest;45;CANASTA;+2;1242px,255px
6;2:9;41;55;home;45;CANASTA;+3;1242px,255px
6;2:21;41;57;guest;18;CANASTA;+2;1242px,255px
6;3:9;43;57;home;18;CANASTA;+2;1242px,255px
6;5:31;43;59;guest;32;CANASTA;+2;1242px,255px
