Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1536x739);1086px,481px
1;0:47;2;0;home;45;CANASTA;+2;1086px,481px
1;1:13;4;0;home;41;CANASTA;+2;1086px,481px
1;2:3;4;3;guest;41;CANASTA;+3;1086px,481px
1;2:22;4;5;guest;41;CANASTA;+2;1086px,481px
1;3:22;6;5;home;45;CANASTA;+2;1086px,481px
1;4:16;8;5;home;41;CANASTA;+2;1086px,481px
1;5:15;10;5;home;45;CANASTA;+2;1086px,481px
1;7:27;12;5;home;45;CANASTA;+2;1086px,481px
2;7:41;12;5;BOTH;ALL;INICIO DE CUARTO;2Q;1086px,481px
2;5:21;12;7;guest;45;CANASTA;+2;1170px,333px
2;5:48;14;7;home;47;CANASTA;+2;1170px,333px
2;6:28;14;9;guest;47;CANASTA;+2;1170px,333px
2;6:41;16;9;home;12;CANASTA;+2;1170px,333px
2;9:26;18;9;home;47;CANASTA;+2;1170px,333px
3;0:0;18;9;BOTH;ALL;INICIO DE CUARTO;3Q;1170px,333px
3;0:31;20;9;home;45;CANASTA;+2;1170px,333px
3;1:56;20;11;guest;45;CANASTA;+2;1170px,333px
3;2:45;22;11;home;31;CANASTA;+2;1170px,333px
3;4:17;24;11;home;45;CANASTA;+2;1170px,333px
3;6:9;26;11;home;45;CANASTA;+2;1170px,333px
3;6:41;28;11;home;41;CANASTA;+2;1170px,333px
3;7:42;31;11;home;31;CANASTA;+3;1170px,333px
3;8:9;31;14;guest;31;CANASTA;+3;1170px,333px
3;8:26;34;14;home;45;CANASTA;+3;1170px,333px
4;0:0;34;14;BOTH;ALL;INICIO DE CUARTO;4Q;1170px,333px
4;0:0;34;14;BOTH;ALL;INICIO DE CUARTO;4Q;1170px,333px
4;1:17;34;15;guest;45;CANASTA;+1;1202px,302px
4;3:7;34;17;guest;45;CANASTA;+2;1202px,302px
4;3:27;34;19;guest;45;CANASTA;+2;1202px,302px
4;6:0;35;19;home;47;CANASTA;+1;1202px,302px
4;7:48;35;21;guest;47;CANASTA;+2;1202px,302px
5;0:0;35;21;BOTH;ALL;INICIO DE CUARTO;5Q;1202px,302px
5;0:0;38;21;home;47;CANASTA;+3;1202px,302px
5;0:0;40;21;home;32;CANASTA;+2;1202px,302px
5;1:3;42;21;home;48;CANASTA;+2;1202px,302px
5;2:22;44;21;home;10;CANASTA;+2;1202px,302px
5;2:22;46;21;home;45;CANASTA;+2;1202px,302px
6;0:0;46;21;BOTH;ALL;INICIO DE CUARTO;6Q;1202px,302px
6;0:28;46;23;guest;45;CANASTA;+2;1202px,302px
6;3:38;46;25;guest;45;CANASTA;+2;1202px,302px
6;4:45;49;25;home;48;CANASTA;+3;1202px,302px
6;6:54;49;28;guest;48;CANASTA;+3;1202px,302px
6;7:51;51;28;home;47;CANASTA;+2;1202px,302px
6;8:19;53;28;home;47;CANASTA;+2;1202px,302px
6;9:54;55;28;home;47;CANASTA;+2;1202px,302px
