Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido HOME vs. EL FARO ⛹️‍♀️ - (1536x739);1040px,449px
1;0:45;2;0;home;0;CANASTA;+2;1040px,449px
1;1:54;2;2;guest;0;CANASTA;+2;1040px,449px
1;4:8;4;2;home;45;CANASTA;+2;1327px,492px
1;4:23;4;4;guest;45;CANASTA;+2;1330px,436px
1;4:41;4;6;guest;45;CANASTA;+2;1330px,436px
1;5:16;6;6;home;45;CANASTA;+2;1330px,436px
1;7:54;8;6;home;45;CANASTA;+2;1330px,436px
2;8:48;8;6;BOTH;ALL;INICIO DE CUARTO;2Q;1330px,436px
2;2:28;8;8;guest;10;CANASTA;+2;1330px,436px
2;4:49;11;8;home;10;CANASTA;+3;1330px,436px
2;5:11;11;10;guest;32;CANASTA;+2;1330px,436px
2;6:57;11;12;guest;44;CANASTA;+2;1330px,436px
2;7:28;14;12;home;44;CANASTA;+3;1330px,436px
2;8:2;15;12;home;32;CANASTA;+1;1166px,360px
2;8:8;14;12;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1166px,360px
2;8:9;14;13;guest;32;CANASTA;+1;1166px,360px
2;8:12;14;14;guest;32;CANASTA;+1;1166px,360px
2;8:24;17;14;home;32;CANASTA;+3;1166px,360px
3;9:33;17;14;BOTH;ALL;INICIO DE CUARTO;3Q;1166px,360px
3;1:17;19;14;home;32;CANASTA;+2;1166px,360px
3;1:48;20;14;home;32;CANASTA;+1;1166px,360px
3;3:36;20;16;guest;18;CANASTA;+2;1258px,404px
3;4:14;20;17;guest;45;CANASTA;+1;1161px,335px
3;4:24;20;18;guest;45;CANASTA;+1;1161px,335px
3;5:48;22;18;home;45;CANASTA;+2;1161px,335px
3;6:7;23;18;home;45;CANASTA;+1;1161px,335px
3;9:9;23;20;guest;45;CANASTA;+2;1161px,335px
3;9:34;24;20;home;45;CANASTA;+1;1161px,335px
3;9:40;23;20;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1161px,335px
3;9:42;25;20;home;45;CANASTA;+2;1161px,335px
4;11:41;25;20;BOTH;ALL;INICIO DE CUARTO;4Q;1161px,335px
4;0:0;24;20;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1161px,335px
4;0:0;24;19;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1161px,335px
4;1:6;26;19;home;12;CANASTA;+2;1161px,335px
4;1:25;29;19;home;12;CANASTA;+3;1161px,335px
4;1:25;31;19;home;12;CANASTA;+2;1161px,335px
4;4:22;34;19;home;12;CANASTA;+3;1161px,335px
5;4:48;34;19;BOTH;ALL;INICIO DE CUARTO;5Q;1161px,335px
5;0:0;36;19;home;12;CANASTA;+2;1161px,335px
5;0:0;39;19;home;12;CANASTA;+3;1161px,335px
5;0:0;41;19;home;12;CANASTA;+2;1161px,335px
5;0:0;41;21;guest;45;CANASTA;+2;1161px,335px
5;3:28;41;23;guest;45;CANASTA;+2;1161px,335px
5;5:11;41;26;guest;10;CANASTA;+3;1161px,335px
5;5:14;43;26;home;10;CANASTA;+2;1161px,335px
6;5:28;43;26;BOTH;ALL;INICIO DE CUARTO;6Q;1161px,335px
6;0:37;43;28;guest;47;CANASTA;+2;1161px,335px
6;0:54;43;30;guest;10;CANASTA;+2;1161px,335px
6;7:20;43;32;guest;48;CANASTA;+2;1161px,335px
6;10:48;43;35;guest;10;CANASTA;+3;1161px,335px
6;11:54;45;35;home;10;CANASTA;+2;1161px,335px
