Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. GUEST - (1536x739);1173px,407px
1;0:53;0;2;guest;0;CANASTA;+2;1173px,407px
1;3:6;0;4;guest;0;CANASTA;+2;1173px,407px
1;3:45;0;6;guest;0;CANASTA;+2;1173px,407px
1;5:46;0;8;guest;0;CANASTA;+2;1173px,407px
2;8:27;0;8;BOTH;ALL;INICIO DE CUARTO;2Q;1173px,407px
2;1:18;2;8;home;42;CANASTA;+2;1173px,407px
2;1:41;4;8;home;20;CANASTA;+2;1173px,407px
2;2:32;6;8;home;42;CANASTA;+2;1173px,407px
2;2:51;6;10;guest;42;CANASTA;+2;1173px,407px
2;4:30;9;10;home;42;CANASTA;+3;1173px,407px
2;5:25;9;11;guest;42;CANASTA;+1;1173px,407px
2;8:2;9;14;guest;42;CANASTA;+3;1173px,407px
3;0:0;9;14;BOTH;ALL;INICIO DE CUARTO;3Q;1173px,407px
3;0:0;9;16;guest;42;CANASTA;+2;1173px,407px
3;0:0;10;16;home;42;CANASTA;+1;1173px,407px
3;0:0;10;18;guest;42;CANASTA;+2;1173px,407px
3;2:17;12;18;home;32;CANASTA;+2;1173px,407px
3;2:18;12;20;guest;32;CANASTA;+2;1173px,407px
3;2:44;12;22;guest;32;CANASTA;+2;1173px,407px
3;4:17;12;24;guest;32;CANASTA;+2;1173px,407px
3;4:24;12;26;guest;32;CANASTA;+2;1173px,407px
4;0:0;12;26;BOTH;ALL;INICIO DE CUARTO;4Q;1173px,407px
4;1:10;14;26;home;42;CANASTA;+2;1173px,407px
4;1:47;14;28;guest;42;CANASTA;+2;1173px,407px
4;2:50;14;30;guest;42;CANASTA;+2;1173px,407px
4;4:59;14;32;guest;42;CANASTA;+2;1173px,407px
4;5:47;14;34;guest;42;CANASTA;+2;1173px,407px
4;6:3;15;34;home;10;CANASTA;+1;1173px,407px
4;7:37;17;34;home;42;CANASTA;+2;1173px,407px
5;9:39;17;34;BOTH;ALL;INICIO DE CUARTO;5Q;1173px,407px
5;1:15;17;36;guest;42;CANASTA;+2;1173px,407px
5;1:38;17;38;guest;42;CANASTA;+2;1173px,407px
5;2:26;17;40;guest;42;CANASTA;+2;1173px,407px
5;3:35;20;40;home;31;CANASTA;+3;1173px,407px
6;0:0;20;40;BOTH;ALL;INICIO DE CUARTO;6Q;1173px,407px
6;1:25;20;42;guest;31;CANASTA;+2;1173px,407px
6;1:59;22;42;home;45;CANASTA;+2;1173px,407px
6;5:20;23;42;home;42;CANASTA;+1;1173px,407px
6;5:33;25;42;home;88;CANASTA;+2;1173px,407px
