Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. MONTEMAR - (1536x739);1111px,427px
1;0:41;0;0;home;45;FALLO TIRO;f2;1111px,427px
1;1:4;0;0;home;33;FALLO TIRO;f2;1111px,427px
1;1:5;2;0;home;33;CANASTA;+2;1111px,427px
1;2:22;2;0;home;18;FALLO TIRO;f2;1111px,427px
1;3:2;2;0;home;47;FALLO TIRO;f2;1111px,427px
1;3:29;2;0;home;45;FALLO TIRO;f2;1111px,427px
1;4:8;2;0;home;47;FALLO TIRO;f1;1111px,427px
1;4:15;2;0;home;47;FALLO TIRO;f1;1111px,427px
1;4:24;2;0;home;45;FALLO TIRO;f3;1111px,427px
1;4:36;2;0;home;45;FALLO TIRO;f2;1111px,427px
1;5:1;2;0;home;41;FALLO TIRO;f2;1111px,427px
1;5:1;2;0;home;45;FALLO TIRO;f2;1111px,427px
1;5:1;2;0;home;47;FALLO TIRO;f2;1111px,427px
1;5:1;2;0;home;45;FALLO TIRO;f2;1111px,427px
1;5:1;2;0;home;45;FALLO TIRO;f2;1111px,427px
1;5:1;4;0;home;18;CANASTA;+2;1111px,427px
1;5:18;4;0;home;47;FALLO TIRO;f2;1111px,427px
1;5:46;4;0;home;47;FALLO TIRO;f2;1111px,427px
1;5:51;4;0;home;45;FALLO TIRO;f2;1111px,427px
1;6:17;5;0;home;45;CANASTA;+1;1111px,427px
1;6:34;5;0;home;33;FALLO TIRO;f1;1111px,427px
1;7:16;5;0;home;33;FALLO TIRO;f2;1111px,427px
2;0:0;5;0;BOTH;ALL;INICIO DE CUARTO;2Q;1111px,427px
2;0:0;5;0;guest;33;FALLO TIRO;f2;1111px,427px
2;0:0;5;3;guest;33;CANASTA;+3;1111px,427px
2;1:18;5;3;home;10;FALLO TIRO;f1;1111px,427px
2;1:30;6;3;home;10;CANASTA;+1;1111px,427px
2;1:55;6;3;home;48;FALLO TIRO;f3;1111px,427px
2;3:4;6;3;home;12;FALLO TIRO;f2;1111px,427px
2;4:35;6;3;guest;12;FALLO TIRO;f2;1111px,427px
2;6:0;6;6;guest;12;CANASTA;+3;1111px,427px
2;6:33;6;6;guest;12;FALLO TIRO;f2;1111px,427px
2;7:0;6;7;guest;12;CANASTA;+1;1111px,427px
2;7:10;6;8;guest;12;CANASTA;+1;1111px,427px
2;7:53;6;10;guest;12;CANASTA;+2;1111px,427px
2;9:5;6;10;home;48;FALLO TIRO;f1;1111px,427px
2;9:28;7;10;home;48;CANASTA;+1;1111px,427px
2;10:0;7;10;home;10;FALLO TIRO;f2;1111px,427px
2;10:14;9;10;home;12;CANASTA;+2;1111px,427px
2;10:22;9;12;guest;12;CANASTA;+2;1111px,427px
3;0:0;9;12;BOTH;ALL;INICIO DE CUARTO;3Q;1111px,427px
3;1:1;9;12;home;33;FALLO TIRO;f2;1111px,427px
3;1:2;11;12;home;33;CANASTA;+2;1111px,427px
3;1:28;13;12;home;45;CANASTA;+2;1111px,427px
3;2:6;13;12;home;41;FALLO TIRO;f2;1111px,427px
3;3:23;15;12;home;45;CANASTA;+2;1111px,427px
3;4:47;15;12;home;47;FALLO TIRO;f2;1111px,427px
3;5:6;15;12;home;47;FALLO TIRO;f1;1111px,427px
3;5:15;16;12;home;47;CANASTA;+1;1111px,427px
3;6:31;16;12;guest;47;FALLO TIRO;f3;1111px,427px
3;7:15;18;12;home;33;CANASTA;+2;1111px,427px
3;8:17;20;12;home;47;CANASTA;+2;1111px,427px
3;8:32;20;12;home;45;FALLO TIRO;f2;1111px,427px
3;8:41;22;12;home;33;CANASTA;+2;1111px,427px
3;9:25;22;12;home;45;FALLO TIRO;f2;1111px,427px
3;9:38;24;12;home;47;CANASTA;+2;1111px,427px
3;10:34;24;12;home;47;FALLO TIRO;f1;1111px,427px
3;11:13;26;12;home;33;CANASTA;+2;1111px,427px
4;0:0;26;12;BOTH;ALL;INICIO DE CUARTO;4Q;1111px,427px
4;0:5;26;12;guest;33;FALLO TIRO;f2;1111px,427px
4;0:22;26;12;guest;33;FALLO TIRO;f2;1111px,427px
4;0:46;26;12;home;10;FALLO TIRO;f2;1111px,427px
4;1:8;26;12;guest;10;FALLO TIRO;f2;1111px,427px
4;1:53;26;12;guest;10;FALLO TIRO;f2;1111px,427px
4;3:24;26;14;guest;10;CANASTA;+2;1111px,427px
4;4:47;26;14;guest;10;FALLO TIRO;f2;1111px,427px
4;5:11;26;14;guest;10;FALLO TIRO;f1;1111px,427px
4;5:21;26;15;guest;10;CANASTA;+1;1111px,427px
4;5:47;26;15;home;48;FALLO TIRO;f3;1111px,427px
4;5:59;26;15;guest;48;FALLO TIRO;f2;1111px,427px
4;6:25;26;17;guest;48;CANASTA;+2;1111px,427px
4;7:3;26;17;guest;48;FALLO TIRO;f1;1111px,427px
4;7:16;26;17;home;48;FALLO TIRO;f2;1111px,427px
4;7:52;26;17;guest;48;FALLO TIRO;f1;1111px,427px
4;7:54;26;18;guest;48;CANASTA;+1;1111px,427px
4;8:47;28;18;home;10;CANASTA;+2;1111px,427px
4;9:7;28;18;home;10;FALLO TIRO;f1;1111px,427px
4;9:16;28;20;guest;10;CANASTA;+2;1111px,427px
4;9:52;28;20;guest;10;FALLO TIRO;f1;1111px,427px
4;9:53;28;20;guest;10;FALLO TIRO;f2;1111px,427px
4;10:51;31;20;home;10;CANASTA;+3;1111px,427px
5;0:0;31;20;BOTH;ALL;INICIO DE CUARTO;5Q;1111px,427px
5;0:14;31;20;home;18;FALLO TIRO;f2;1111px,427px
5;0:53;31;20;guest;18;FALLO TIRO;f2;1111px,427px
5;1:14;33;20;home;47;CANASTA;+2;1111px,427px
5;1:31;33;20;home;18;FALLO TIRO;f3;1111px,427px
5;2:31;33;20;guest;18;FALLO TIRO;f1;1111px,427px
5;2:44;33;20;guest;18;FALLO TIRO;f1;1111px,427px
5;2:50;33;23;guest;18;CANASTA;+3;1111px,427px
5;4:4;35;23;home;45;CANASTA;+2;1111px,427px
5;4:57;35;23;home;47;FALLO TIRO;f3;1111px,427px
5;5:42;35;23;home;45;FALLO TIRO;f2;1111px,427px
5;5:58;35;23;home;45;FALLO TIRO;f1;1111px,427px
5;6:11;35;23;home;45;FALLO TIRO;f1;1111px,427px
5;6:28;35;23;guest;45;FALLO TIRO;f2;1111px,427px
5;7:22;35;23;home;45;FALLO TIRO;f2;1111px,427px
5;7:22;37;23;home;45;CANASTA;+2;1111px,427px
5;7:55;37;23;home;47;FALLO TIRO;f2;1111px,427px
5;8:30;37;23;guest;47;FALLO TIRO;f2;1111px,427px
5;8:49;37;24;guest;47;CANASTA;+1;1111px,427px
5;9:1;37;25;guest;47;CANASTA;+1;1111px,427px
5;10:31;37;25;home;45;FALLO TIRO;f3;1111px,427px
6;0:0;37;25;BOTH;ALL;INICIO DE CUARTO;6Q;1111px,427px
6;0:49;37;25;home;48;FALLO TIRO;f1;1111px,427px
6;0:59;37;25;home;48;FALLO TIRO;f1;1111px,427px
6;3:53;37;26;guest;48;CANASTA;+1;1111px,427px
6;4:5;37;27;guest;48;CANASTA;+1;1111px,427px
6;4:20;39;27;home;10;CANASTA;+2;1111px,427px
6;4:52;39;27;home;48;FALLO TIRO;f3;1111px,427px
6;7:31;41;27;home;41;CANASTA;+2;1111px,427px
6;8:42;43;27;home;45;CANASTA;+2;1111px,427px
6;8:45;42;27;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1111px,427px
6;8:45;41;27;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;1111px,427px
6;8:48;41;27;home;45;FALLO TIRO;f2;1111px,427px
6;9:33;43;27;home;41;CANASTA;+2;1111px,427px
6;9:49;43;27;guest;41;FALLO TIRO;f3;1111px,427px
6;9:50;43;27;guest;41;FALLO TIRO;f2;1111px,427px
6;10:33;43;27;home;18;FALLO TIRO;f2;1111px,427px
6;10:42;46;27;home;45;CANASTA;+3;1111px,427px
6;12:20;46;29;guest;45;CANASTA;+2;1111px,427px
6;12:50;46;30;guest;45;CANASTA;+1;1111px,427px
6;13:29;46;30;home;45;FALLO TIRO;f2;1111px,427px
6;14:19;46;30;guest;45;FALLO TIRO;f1;1111px,427px
