Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;0;0;BOTH;ALL;START;Inicio del Partido EL FARO ⛹️‍♀️ vs. CB PHora - (1536x739);1137px,370px
1;2:38;2;0;home;88;CANASTA;+2;1137px,370px
1;6:7;2;3;guest;88;CANASTA;+3;1137px,370px
1;6:29;2;5;guest;88;CANASTA;+2;1137px,370px
1;7:16;2;7;guest;88;CANASTA;+2;1137px,370px
2;8:15;2;7;BOTH;ALL;INICIO DE CUARTO;2Q;1137px,370px
2;0:0;3;7;home;12;CANASTA;+1;1137px,370px
2;0:0;5;7;home;45;CANASTA;+2;1137px,370px
2;0:0;7;7;home;45;CANASTA;+2;1137px,370px
3;0:0;7;7;BOTH;ALL;INICIO DE CUARTO;3Q;1137px,370px
2;0:0;7;7;BOTH;ALL;INICIO DE CUARTO;2Q;1137px,370px
2;2:1;9;7;home;12;CANASTA;+2;1230px,283px
3;0:0;9;7;BOTH;ALL;INICIO DE CUARTO;3Q;1230px,283px
3;0:0;9;10;guest;12;CANASTA;+3;1230px,283px
3;1:26;9;12;guest;12;CANASTA;+2;1230px,283px
3;3:0;12;12;home;88;CANASTA;+3;1230px,283px
3;7:26;12;13;guest;88;CANASTA;+1;1230px,283px
3;7:38;12;14;guest;88;CANASTA;+1;1230px,283px
4;8:7;12;14;BOTH;ALL;INICIO DE CUARTO;4Q;1230px,283px
4;1:25;14;14;home;34;CANASTA;+2;1230px,283px
4;2:54;14;17;guest;34;CANASTA;+3;1230px,283px
4;4:57;16;17;home;42;CANASTA;+2;1230px,283px
4;8:19;19;17;home;34;CANASTA;+3;1230px,283px
5;8:40;19;17;BOTH;ALL;INICIO DE CUARTO;5Q;1230px,283px
5;0:57;19;18;guest;34;CANASTA;+1;1230px,283px
5;2:2;21;18;home;44;CANASTA;+2;1230px,283px
5;6:46;21;20;guest;44;CANASTA;+2;1254px,354px
5;7:9;21;21;guest;44;CANASTA;+1;1254px,354px
6;0:0;21;21;BOTH;ALL;INICIO DE CUARTO;6Q;1254px,354px
6;0:0;22;21;home;44;CANASTA;+1;1254px,354px
6;0:0;24;21;home;88;CANASTA;+2;1254px,354px
6;0:0;24;23;guest;88;CANASTA;+2;1254px,354px
6;0:19;25;23;home;34;CANASTA;+1;1254px,354px
6;1:26;27;23;home;34;CANASTA;+2;1254px,354px
6;2:35;27;25;guest;34;CANASTA;+2;1254px,354px
6;4:10;27;27;guest;34;CANASTA;+2;1254px,354px
6;1:25;27;28;guest;34;CANASTA;+1;1254px,354px
6;2:10;30;28;home;48;CANASTA;+3;1254px,354px
6;2:11;30;31;guest;48;CANASTA;+3;1254px,354px
6;2:37;30;33;guest;48;CANASTA;+2;1254px,354px
