Q;TIME;SCORE HOME;SCORE GUEST;TEAM;PLAYER;EVENT;INFO;BALL
1;0:0;4;6;BOTH;ALL;START;Inicio del Partido HOME vs. EL FARO ⛹️‍♀️ - (1536x739);,
1;0:0;0;2;guest;48;CANASTA;+2;,
1;0:0;0;4;guest;47;CANASTA;+2;,
1;0:0;1;4;home;47;CANASTA;+1;,
1;0:0;0;4;Nadie;USER;FIX Marcador!;Fix del marcador por usuario;,
1;0:0;2;4;home;47;CANASTA;+2;,
1;0:0;4;4;home;47;CANASTA;+2;,
1;0:0;4;6;guest;48;CANASTA;+2;,
1;2:31;6;6;home;47;CANASTA;+2;,
1;3:53;6;8;guest;10;CANASTA;+2;,
1;4:27;6;10;guest;47;CANASTA;+2;,
2;0:0;6;10;BOTH;ALL;INICIO DE CUARTO;2Q;,
2;0:0;8;10;home;47;CANASTA;+2;,
2;0:0;10;10;home;47;CANASTA;+2;,
2;0:0;10;12;guest;45;CANASTA;+2;,
2;0:0;12;12;home;45;CANASTA;+2;,
2;0:0;12;14;guest;41;CANASTA;+2;,
2;1:21;14;14;home;41;CANASTA;+2;,
2;1:39;16;14;home;41;CANASTA;+2;,
2;3:9;18;14;home;41;CANASTA;+2;,
2;4:0;20;14;home;41;CANASTA;+2;,
2;5:26;21;14;home;41;CANASTA;+1;,
2;7:57;23;14;home;41;CANASTA;+2;,
3;8:27;23;14;BOTH;ALL;INICIO DE CUARTO;3Q;,
3;0:21;23;16;guest;45;CANASTA;+2;,
3;0:37;25;16;home;45;CANASTA;+2;,
3;0:55;25;18;guest;45;CANASTA;+2;,
3;1:41;25;20;guest;41;CANASTA;+2;,
3;2:50;25;22;guest;45;CANASTA;+2;,
3;3:35;27;22;home;45;CANASTA;+2;,
3;4:18;29;22;home;45;CANASTA;+2;,
3;4:50;31;22;home;45;CANASTA;+2;,
3;6:8;31;24;guest;45;CANASTA;+2;,
3;7:30;34;24;home;45;CANASTA;+3;,
4;0:0;34;24;BOTH;ALL;INICIO DE CUARTO;4Q;,
4;0:23;36;24;home;45;CANASTA;+2;,
4;0:49;38;24;home;45;CANASTA;+2;,
4;1:28;40;24;home;45;CANASTA;+2;,
4;2:14;41;24;home;45;CANASTA;+1;,
4;2:35;41;26;guest;10;CANASTA;+2;,
4;2:39;43;26;home;10;CANASTA;+2;,
4;4:22;45;26;home;10;CANASTA;+2;,
4;4:53;47;26;home;10;CANASTA;+2;,
5;0:0;47;26;BOTH;ALL;INICIO DE CUARTO;5Q;,
5;1:3;49;26;home;10;CANASTA;+2;,
5;1:21;51;26;home;10;CANASTA;+2;,
5;2:49;53;26;home;10;CANASTA;+2;,
5;3:45;55;26;home;10;CANASTA;+2;,
5;6:27;55;27;guest;42;CANASTA;+1;,
5;7:12;55;29;guest;32;CANASTA;+2;,
5;7:25;57;29;home;45;CANASTA;+2;,
5;7:36;57;31;guest;45;CANASTA;+2;,
5;7:47;59;31;home;45;CANASTA;+2;,
5;8:28;61;31;home;45;CANASTA;+2;,
6;0:0;61;31;BOTH;ALL;INICIO DE CUARTO;6Q;,
6;0:0;63;31;home;45;CANASTA;+2;,
6;0:0;63;33;guest;45;CANASTA;+2;,
6;0:0;66;33;home;45;CANASTA;+3;,
6;0:0;66;35;guest;88;CANASTA;+2;,
6;0:0;68;35;home;88;CANASTA;+2;,
6;0:0;70;35;home;88;CANASTA;+2;,
6;3:36;73;35;home;88;CANASTA;+3;,
6;5:39;73;37;guest;88;CANASTA;+2;,
